authors,title,journal,link,,,
"Faradji, F., Ward, R. K., and Birch, G. E.",A Custom Designed Mental Task Based Brain Computer Interface,"The 34th IEEE Inter. Conf. . Acoustics, Speech, and Signal Processing (ICASSP), pp.529-532, Taipei, Taiwan, April 2009.",,,,
"Du, S., and Ward, R.K.",Component-Wise Pose Normalization for Pose Invariant Face Recognition,"The 34th IEEE Inter. Conf. . Acoustics, Speech, and Signal Processing (ICASSP), pp.873-876,Taipei, Taiwan, April 2009.",,,,
"Yong, X., Ward, R. K., and Birch, G. E.",Artifact removal in EEG using morphological component analysis,"The 34th IEEE Inter. Conf. . Acoustics, Speech, and Signal Processing (ICASSP), pp.861-864, Taipei, Taiwan, April 2009.",,,,
"Majumdar, A., and Ward, R. K.",Classification via Group Sparsity Promoting Regularization,"The 34th IEEE Inter. Conf. . Acoustics, Speech, and Signal Processing (ICASSP), pp. 873-876, Taipei, Taiwan, April 2009.",,,,
"Majzoub, S.,  Saleh, R., and Ward, R.K.",PVT Variation Impact on Voltage Island Formation in MPSoC Design,"Inter. Symp. Quality Electronic Design (ISQED), pp.814-819, San Jose, CA, USA , March 2009.",,,,
"Pourazad, M.T., Nasiopoulos,P., and Ward, R. K.",Converting H.264-derived Motion Information into Depth Map,"The 15th Inter. MultiMedia Modeling Conf. (MMM), Lecture notes in Computer Science 5371 Springer 2009,  pp. 108-118, Sophia, Antipolis, France , January 2009.",,,,
"Pourazad, M.T., Nasiopoulos,P., and Ward, R. K.",An H.264-based Scheme for 2D to 3D Video Conversion,"IEEE Inter. Conf. on  Consumer Electronics (ICCE) , pp. 742-748, Las Vegas, USA, January 2009.",,,,
"Fatourechi, M., Ward, R. K., Mason, S. G. , Huggins, J., Schlögl, A., and Birch, G. E. ",Comparison of Evaluation Metrics in Classification Applications with Imbalanced Datasets,"IEEE Inter. Conf. on Machine Learning and Applications (ICMLA), pp.777-782, San Diego, California, December 2008.",,,,
"Shadaydeh, M., Xiao, Y., and Ward, R. K.",Extraction of Fetal ECG Using Adaptive Volterra Filters,"The 16th European Signal Processing Conference (EUSIPCO), Lausanne, Switzerland.",,,,
"Majumdar, A., and Ward, R. K.",Single Image Per Person Face Recognition With Images Synthesized by Non-linear Approximation,"IEEE Inter. Conf. Image Processing (ICIP), pp.2740-2743, San Diego, California, October 2008,.",,,,
"Yong, X., Ward, R. K., and Birch, G. E.",Robust Common Spatial Patterns for EEG Signal Preprocessing,"IEEE  Inter. Conf. of the Engineering in Medicine and Biology Society (EMBC), pp.2087-2090, Vancouver, Canada, August 2008.",,,,
"Xiong, C. Z., Ward, R. K., and Xu, J. Y.",On the Security of Singular Value Based Watermarking,"IEEE Inter. Conf. Image Processing (ICIP), pp.437-440, San Diego, California, October 2008.",,,,
"Fatourechi, M.,  Ward, R. K., and Birch, G. E.",Evaluating the Performance of a Self-Paced BCI with a New Movement and Using a More Engaging Environment,"IEEE 2008 Inter. Conf. of the Engineering in Medicine and Biology Society (EMBC’08), pp.650-653, Vancouver, Canada, August 2008.",,,,
"Faradji,F., Ward, R. K., and Birch, G. E.",Self-Paced BCI Using Multiple SWT-Based Classifiers,"IEEE 2008 Inter. Conf. of the Engineering in Medicine and Biology Society (EMBC), pp.2095-2098, Vancouver, Canada, August 2008.",,,,
"Majumdar, A., and Ward, R. K.",Fingerprint Recognition with Curvelet Features and Fuzzy KNN Classifier,"IASTED Int. Conf. on Signal and Image Processing, pp. 243-248, Kailua-Kona, Hawai, August 2008,.",,,,
"Xiao, Y., Shadaydeh, M., and Ward, R. K.",New narrowband active noise control systems with significantly less computational requirements,"IEEE Inter.  Symp. Circuits and Systems (ISCAS 2008), pp.41-44, Seattle, USA, May 2008.",,,,
"ElShafie, D., Kharma, N., and Ward, R. K.",Parameter Optimization of an Embedded Watermark Using a Genetic Algorithm,"IEEE Inter. Symp.  Communications, Control and Signal Processing (ISCCSP), pp.1263-1266, St. Julians, Malta, March 2008.",,,,
"Mai, Z., Nasiopoulos, P., and Ward, R. K.",DVB-MHP iTV to Blu-ray System Information Transcoding,"IEEE Inter. Symp.  Communications, Control and Signal Processing (ISCCSP), pp.1460-1463, St. Julians, Malta, March 2008,.",,,,
"Yong, X., Ward, R. K., and Birch, G. E.",Facial EMG Contamination in EEG Signals: Characteristics and Effects of Spatial Filtering,"IEEE Inter. Symp.  Communications, Control and Signal Processing (ISCCSP 2008), pp.729-734, St. Julians, Malta, March 2008.",,,,
"Majumdar, A., and  Ward, R. K.","Pseudo-Fisher Face Method for Single Image per Person Face Recognition"",""IEEE Inter. Conf. on Acoustics , Speech and Signal Processing (ICASSP'08), pp.989-992, Las Vegas, USA,April 2008,.",,,,,
"Tang, Q., Mansour, H., Nasiopoulos, P., Ward, R.K.",Bit-Rate Estimation for Bit-Rate Reduction H.264/AVC Video Transcoding in Wireless Networks,"2008 Inter. Symp. Wireless Pervasive Computing, pp.464-467, Santorini, Greece, April 2008,.",,,,
"Yong, X., Ward, R. K., and Birch, G. E.",Sparse Spatial Filter Optimization for EEG Channel Reduction in Brain-Computer Interface,"IEEE Inter. Conf. on Acoustics , Speech and Signal Processing (ICASSP), pp. 417-420, Las Vegas, USA, April 2008.",,,,
"Tang, Q., Nasiopoulos, P., and Ward, R.K.",Fast Block Size Prediction for MPEG-2 to H.264/AVC Transcoding,"IEEE Inter. Conf. on Acoustics , Speech and Signal Processing (ICASSP), pp.1029-1032, Las Vegas, USA, April 2008,.",,,,
"Coria, L. E., Nasiopoulos, P., Ward, R. K., and Pickering, M.",An Access Control Video Watermarking Method that is Robust to Geometric Distortions,"IEEE Inter. Conf. on Digital Information Management (ICDIM), pp.460-465, Lyon, France, October, 2007,.",,,,
"Ersahin, K., Cumming, I.G., and Ward., R. K.",Segmentation of Polarimetric SAR Data using Spectral Graph Partitioning: Utilizing Multiple Cues,Advanced SAR Workshop (ASAR), Vancouver, BC,Canada," September 2007."""
"Abdel-Hady,  M., and Ward R. K.",A Framework for Evaluating Video Transmission Over Wireless Ad Hoc Networks,"IEEE Pacific Rim Conf. on Communications, Computers and Signal Processing (PACRIM2007), pp.78-81, Victoria, Canada, August 2007,.",,,,
"Ersahin, K., Cumming, I.G., and Ward., R. K.",Segmentation of Polarimetric SAR Data using Contour Information via Spectral Graph Partitioning,"IEEE Inter. Geoscience and Remote Sensing Symposium (IGARSS), pp.2240-2243, Barcelona, Spain, July 2007,.",,,,
"Du, S., and Ward, R. K.",A Robust Approach for Eye Localization Under Variable Illuminations,"IEEE Inter. Conf. on Image Processing (ICIP), pp. 377-380, San Antonio, Texas, USA, 16-19 September 2007.",,,,
"Bashashati, A., Ward, R. K., and Birch, G. E.",Recent Advances in the Design of a 3-state Self-paced (Asynchronous) Brain Computer Interface,"IEEE-EMBS Neural Eng. Conference, pp.188-191, Hawaii, USA, May 2007.",,,,
"Mai, Z., Nasiopoulos, P., and Ward, R. K.","Efficient DVB-MHP to Blu-ray System Information Transcoding"",""IEEE Canadian Conf. on Electrical and Computer Engineering, pp.20-23, Vancouver, Canada, Apr 22-26 2007.",,,,,
"Bashashati, A., Ward, R. K., and Birch, G. E.",Comparison of Using Monopolar and Bipolar Electroencephalogram (EEG) Electrodes for Detection of Right and Left Hand Movements in a Self-paced Brain Computer Interface (BCI),"IEEE Canadian Conf. on Electrical and Computer Engineering, pp.725-728, Vancouver, Canada, April 2007.",,,,
"Fatourechi, M., Birch, G.E., and Ward, R.K.",Applying a Hybrid Genetic Algorithm in the Design of a Self-paced Brain Interface with a Low False Positive Rate,"IEEE Inter. Conf. on Acoustics, Speech, and Signal Proc. (ICASSP) (Special session on EEG Signal Processing and Applications), pp.IV-1157- IV-1160, Hawaii, USA. April 2007.",,,,
"Tang, Q., Nasiopoulos, P., and Ward, R.K.",Efficient Chrominance Compensation for MPEG2 to H.264 Transcoding,"IEEE Inter. Conf. on Acoustics, Speech, and Signal Proc. (ICASSP), pp. I.1129 – I.1132, Hawaii, USA. April 2007.",,,,
"Coria, L., Nasiopoulos, P., and Ward, R.K.",A Robust Content-dependent Algorithm for Video Watermarking,"Sixth ACM Workshop on Digital Rights Management (DRM), pp.97-101, Alexandria VA, USA, October 2006.",,,,
"Pourazad, M.T., Nasiopoulos, P., Ward, R.K.",An H.264-Based Video Encoding Scheme for 3D TV,"14th European Signal Processing Conf., Florence, Italy, September, 2006.",,,,
"Su, W. and Ward, R.K.",An Edge-based Image Interpolation Approach Using Symmetric Biorthogonal Wavelet Transform,"IEEE Inter. Workshop on Multimedia Signal Processing (MMSP), pp. 355–359, Victoria, Canada, October, 2006,.",,,,
"Wang, Q. and Ward, R.K.",Fast Image/Video Contrast Enhancement Based on WTHE,"IEEE Inter. Workshop on Multimedia Signal Processing (MMSP), pp.338‑343, Victoria, Canada, October 3-6, 2006.",,,,
"Tang, Q., Nasiopoulos, P., and Ward, R. K.",An Efficient MPEG2 to H.264 Half-pixel Motion Compensation Transcoding,"Inter. Conf. on Image Processing (ICIP), pp.865-868, Atlanta, USA, October 2006.",,,,
"Fatourechi, M., Ward, R.K., and Birch, G.E.",Recent Studies in the Design of a Self-paced Brain Interface with Low False Positive Rate,"IEEE 2006 Inter. Conf. of the Engineering in Medicine and Biology Society (EMBC’06), pp. 2944-2949, New York, USA, August 30-September 3, 2006.",,,,
"Tang, Q., Nasiopoulos, P., and Ward, R.K.",An Efficient Re-quantization Error Compensation for MPEG2 to H.264 Transcoding,"IEEE Symp. on Signal Processing and Information Technology (ISSPIT), pp. 530-535, Vancouver, Canada, August 2006.",,,,
"Fatourechi, M., Mason, S., Birch, G. E., and Ward, R.K.",Is Information Transfer Rate a Suitable Performance Measure for Self-paced Brain Interface Systems?,"IEEE Symp. on Signal Processing and Information Technology (ISSPIT), pp. 212-216, Vancouver, Canada, August 2006.",,,,
"Zou, J., Zheng, W., and Ward, R. K.",A Novel Digital Watermarking Method for Commercial Bills Based on a Class of Orthogonal Function Systems,"IEEE Symp. on Signal Processing and Information Technology (ISSPIT), pp. 40-43, Vancouver, Canada, August 2006.",,,,
"Ghazel, M., Traboulsee, A., and Ward, R.K.",Semi-Automated Segmentation of Multiple Sclerosis Lesions in Brain MRI using Texture Analysis,"IEEE Symp.on Signal Processing and Information Technology (ISSPIT), pp. 6-10, Vancouver, Canada, August 2006.",,,,
"Ghazel, W., Ward, R. and Traboulsee, A.",Semi-Automated Segmentation of Multiple Sclerosis Lesions in Brain Magnetic Resonance Imaging (MRI) using Texture Analysis,"The 6th IEEE International Symposium on Signal Processing and Information Technology (ISSPIT’06), Vancouver, British Columbia, Canada, August 27-30, 2006. ISSPIT’06 proceedings: pp. 415-419 2006.",,,,
"Ghazel, W., Ward, R. and Traboulsee, A.",Optimal Filter Design for Multiple Sclerosis Lesion Segmentation from Regions of Interest in Brain Magnetic Resonance Imaging (MRI),"The 6th IEEE International Symposium on Signal Processing and Information Technology (ISSPIT’06), Vancouver, British Columbia, Canada, August 27-30, 2006. ISSPIT’06 proceedings: pp. 410-414 2006.",,,,
"Bashashati, A., Ward, R.K., and Birch, G.E.",Detection of Hand Extension Movements in the Context of a 3‑state Asynchronous Brain Interface,"IEEE Inter. Conf. on Acoustics, Speech, and Signal Proc.(ICASSP), pp. V-897 – V-900, Toulouse, France, May 2006.",,,,
"Deng, H., Ward, R.K., Beddoes, M., and O’Shaughnessy, D.",Obtaining Lip and Glottal Reflection Coefficients from Vowel Sounds,"IEEE Conf. on Acoustics, Speech and Signal Processing (ICASSP), pp.I-373 - I-376, Toulouse, France, May 2006.",,,,
"Du, S. and Ward, R.K.",Adaptive Region-Based Image Enhancement Method for Face Recognition under Varying Illumination Conditions,"IEEE Conf. on Acoustics, Speech and Signal Processing (ICASSP), pp.II-353 – II- 356, Toulouse, France, May 2006,.",,,,
"Fatourechi, M., Birch, G.E., and Ward, R.K.",Using a Multiple Classifier System for Improving the Performance of Asynchronous Brain Interface Systems,"IEEE Conf. on Acoustics, Speech and Signal Processing (ICASSP), V-905, V- 908, Toulouse, France, May 2006.",,,,
"Khojasteh, M., Coe, B.P., Shah, S., Ward, R.K., Lam, W.L., and MacAulay, C.",A Novel Algorithm for the Analysis of Array CGH Data,"IEEE Conf. on Acoustics, Speech and Signal Processing (ICASSP), pp. II-1020 – II-1023, Toulouse, France, May 2006.",,,,
"Ugur, K., Nasiopoulos, P., and Ward R.K.",An Efficient H.264 Based Fine-Granular-Scalable Video Coding System,"IEEE 2005 Workshop on Signal Processing Systems, Athens, Greece, Nov. 2-4, 2005.",,,,
"Khojasteh, M., Lam. W. L., Ward, R. K., and MacAulay, C.",A stepwise framework for the normalization of array CGH data,"BMC Bioinformatics, 6:274, Nov 2005.",,,,
"Ghazel, M., Freeman, G.H., Vrscay, E.R., and Ward, R.K.",Wavelet Image Denoising using Localized Thresholding Operators in Image Analysis and Recognition,"Lecture Notes in Computer Science, Vol. 3656, Proceedings ICIAR, M. Kamel, A. Campilho, Eds. (Springer Verlag, 2005).",,,,
"Jiancheng, Z., Yanhong, S., and Ward, R.K.",A Novel Digital Image Encryption Method Based on DES,"IACIS Pacific Conference, Taipei, Taiwan, May 19-21, 2005.",,,,
"Jiancheng, Z., ChangZhen, X., Jianhong, Z., and Ward, R.K.",A New Image Encryption Algorithm Based on Chaotic Map,"IACIS Pacific 2005 Conference, Taipei, Taiwan, May 19-21, 2005.",,,,
"Deng, H., Ward, R.K., and Beddoes, M.",Glottal Waves via Inverse Filtering of Vowel Sounds,"Inter. Conf. of the IEEE Engineering in Medicine and Biology Society, pp. 7000-7003, Shanghai, Sep2005,.",,,,
"Pourazad, M.T., Moussavi, Z., Farahmand, F., and Ward, R.K.",Heart Sounds Separation from Lung Sounds Using Independent Component Analysis,"Inter. Conf. of the IEEE Engineering in Medicine and Biology Society, pp. 2736-2739, Shanghai, Sep 2005,.",,,,
"Du, S., and Ward, R.K.",Wavelet-based Illumination Normalization for Face Recognition,"IEEE Inter. Conf. on Image Proc., pp. II 954‑II 957, Genoa, Italy, Sep 2005.",,,,
"Mendoza, C., Nasiopoulos, P., and Ward, R.K.",A Robust Watermarking Scheme Based on Informed Coding and Informed Embedding,"IEEE Inter. Conf. on Image Proc. 2005, pp. I 681‑I 684, Genoa, Italy, Sep 2005.",,,,
"Wang, Q., and Ward, R.K.",Contrast Enhancement for Enlarged Images Based on Edge Sharpening,"IEEE Inter. Conf. on Image Proc., pp. II 762‑II 765, Genoa, Italy, Sep 2005.",,,,
"Ghazel, M., Freeman, G. H., Vrscay, E. R., and Ward, R. K.",Wavelet Image Denoising Using Localized Thresholding Operators,"The International Conference on Image Analysis and Recognition (ICIAR’05), Toronto, Ontario, Canada, September 28 - 30, 2005. ICIAR’05 proceedings: pp. 149-158 2005.",,,,
"Pourazad, M.T., Farahmand, F., Moussavi, Z. K. and Ward, R. K.",Heart sounds separation from lung sounds using independent component analysis,"Int. Conf. IEEE Engineering in Medicine and Biology Society (EMBC 05), China, Aug 2005.",,,,
"Ghazel, M., Vrscay, E.R., Freeman, G.H., Ward, R.K., and Abugharbieh, R.",Simultaneous Fractal Image Denoising and Interpolation,"Pacific Rim 2005 Conf., pp. 558‑561, Victoria, Canada, Aug. 24-26, 2005.",,,,
"Ghazel, M., Freeman, G. H., Vrscay, E. R., Ward, R. K.",Joint Fractal-Wavelet Image Denoising and Interpolation,"2005 IEEE Pacific Rim Conference on Communications, Computers and Signal Processing (PACRIM’05), Victoria, British Columbia, Canada, August 24-26, 2005. PACRIM’05 proceedings: pp. 321-325, 2005.",,,,
"Zou, J., Zhong, W., and Ward, R.K.",A Novel Digital Image Scrambling Method Based on DES,"Proc. of the IASTED Inter. Conf. on Communication Systems and Applications, pp. 70‑74, Banff, Canada, Jul. 19-21, 2005.",,,,
"Zou, J., Xiong, C., and Ward, R.K.",The Application of Chaotic Maps in Image Encryption,"IEEE NEWCAS 05, pp. 186‑189, Quebec City, Canada, Jun, 2005.",,,,
"Ghazel, M., Freeman, G. H., Vrscay, E. R., and Ward, R. K.","Simultaneous Fractal Image Denoising, Interpolation and Compression","The IEEE Canadian Conference on Electrical and Computer Engineering, Saskatoon, Saskatchewan, Canada, May 1-4, 2005. CCECE’05 proceedings: pp. 975-978 2005.",,,,
"Deng, H., Ward, R.K., Beddoes, M., and Hodgson, M.",Effects of Glottal and Lip Boundary Conditions on Vocal-Tract Area-Function Estimates from Speech signals,"Proc. of the Inter. Conf. on Acoustics, Speech, and Signal Proc., Vol. I, pp 901-93, Philadelphia, March 2005.",,,,
"Bashashati, A., Ward, R.K., and Birch, G.",A New Design of the Asynchronous Brain Computer Interface Using the Knowledge of the Path of Features,"Proc. of 2nd IEEE-EMBS Conf. on Neural Eng., pp 101-104, Arlington, VA, Mar. 16-19, 2005.",,,,
"Du, S., and Ward, R.K.",Statistical Non-Uniform Sampling of Gabor Wavelet Coefficients for Face Recognition,"Proc. of the Inter. Conf. on Acoustics, Speech, and Signal Proc., Vol. II, pp 73-76, Philadelphia, March 2005.",,,,
"Fatourechi, M., Bashashati, A., Ward, R.K., and Birch, G.",A Hybrid Genetic Algorithm Approach for Improving the Performance of the LF-ASD Brain Computer Interface,"Proc. of the Inter. Conf. on Acoustics, Speech, and Signal Proc., pp 345-348, Philadelphia, March 2005.",,,,
"Fu, B., Beddoes, M.P., Peck, C.C., Ward, R.K., Hannam, A.G.",Jaw Motion for EMG Signals - A New Bruxism Monitor,"IASTED Inter. Conf., Biomedical Engineering, pp. 624‑628, Innsbruck, Austria, Feb. 2005.",,,,
"Ghazel, M., Vrscay, E.R., Freeman, G.H., Ward, R.K., and Abugharbieh, R.",Joint Fractal-Wavelet Image Denoising and Interpolation,"Canadian Conf. on Electrical and Computer Engineering, Saskatoon, Canada, February 2005.",,,,
"Fatourechi, M., Bashashati, A., Birch, G. E., and Ward, R.K.",Improving the Performance of the LF-ASD Brain Computer Interface by Means of Genetic Algorithm,"The IEEE Symposium on Signal Processing and Information Technology (ISSPIT), Rome, Italy, December 2004.",,,,
"Bashashati, A., Mason, S.G., Ward, R.K., Birch, G.E.",An Automatic Method to Generate Ensemble Averages of Movement-Related Potentials for Individuals with Spinal Cord Injuries,"Proc. of the 26th Inter. Conf. of the IEEE Eng. in Medicine and Biology Science, pp. 4529‑4532, San Francisco, CA, Sep. 1-5, 2004.",,,,
"Zou, J., Ward, R.K., and Qi, D.",A New Digital Image Scrambling Method Based on Fibonacci Numbers,"Proc. of the IEEE Inter Symposium on Circuits and Systems 2004, Vol. III, pp. 965-968, Vancouver, May 23-26, 2004.",,,,
"Avanaki, A., Hamidzadeh, B., Kossentini, F., and Ward, R.K.",Multi-Reference Object Pose Indexing and 3-D Modeling from Video Using Volume Feedback,"Proc. of the IEEE Inter Symposium on Circuits and Systems 2004, Vol. III, pp. 893-896, Vancouver, May 23-26, 2004.",,,,
"Xiao, Y., Ma, L., Ward, R.K., and Xie. L.",Fast RLS Fourier Analyzers in the Presence of Frequency Mismatch,"Proc. of the IEEE Inter Symp. on Circuits and Systems 2004, Vol. III, pp. 497-500, Vancouver, May 23-26, 2004.",,,,
"Adams, M., and Ward R.K.",Jasper: A Portable Flexible Open-Source Software Tool Kit for Image Coding/Processing,"Proc. of the IEEE ICASSP, vol. V, pp. 241-244, Montreal, May 2004.",,,,
"Zou, J., Ward, R.K., and Qi, D.",The Generalized Fibonacci Transformations and Application to Image Scrambling,"Proc. of the IEEE ICASSP, Montreal, Vol. III, May 2004, pp. 385-388.",,,,
"Fatourechi. M., Mason, S., Birch, G., and Ward, R.K",A Wavelet-Based Approach for the Extraction of Event Related Potentials from EEG,"Proc. of the IEEE ICASSP, Montreal, Vol. II, May 2004, pp. 737-740.",,,,
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",A New Signal Model and Identification Algorithm for Hidden Semi-Markov Signals,"Proc. of the IEEE ICASSP, Montreal, Vol. II, May 2004, pp. 521-524.",,,,
"Deng, H., Ward, R.K., Beddoes, M., and Hodgson",Estimating Vocal-Tract Area Functions from Vowel Sound Signals Over Closed Glottal Phases,"Proc. of the IEEE ICASSP, Montreal, Vol. I, May 2004, pp. 589-592.",,,,
"Zou, J., Ward, R.K., and Qi, D.",Some Novel Image Scrambling Methods Based on Chaotic Dynamical Systems,"Proc. of the 46th IEEE Midwest Symposium on Circuits and Systems, Cairo, Egypt, Dec. 27‑30, 2003.",,,,
"Zou, J., Ward, R.K., and Qi, D.",Image Encryption Methods Based on Chaotic Discrete Dynamical Systems,"Proc. of the 9th Joint Inter. Computer Conf. (JICC 2003), Zhuhai, China, Nov. 13‑14, 2003, pp. 287‑290.",,,,
"Deng, H., Beddoes, M., Ward, R.K., and Hodgson, M.",Obtaining the Vocal-tract Area Function from a Speech Signal,"Proc. of the Can. Acoustic Week, Edmonton, October 2003, pp. 40‑41.",,,,
"Bashashati, A., Ward, R.K., Birch, G., Hashemi, M.R., and Khalilzadeh, M.A.",Fractal Dimension-Based EEG Biofeedback System,"Proc. of the 25th Inter. Conf. of the IEEE Engineering in Medicine & Biology Society, Mexico, Sep. 17‑20, 2003, pp. 2220‑2223.",,,,
"Wang, Q. and Ward, R.K.",A Contour Preserving Image Interpolation Method,"Trans. of the IEEE Inter. Conf. on Image Processing, Vol. 3, Barcelona, September 2003, pp. 673‑676.",,,,
"Deng, H., Beddoes, M. Ward, R.K., and Hodgson, M.",Estimating the Vocal-tract Area Function and the Derivative of the Glottal Wave from a Speech Signal,"Proc. Of the European Conf. on Speech Comm. And Technology, Eurospeech 2003, Switzerland, August 2003, pp. 2437‑2440.",,,,
"Deng, H., Beddoes, M., Ward, R.K., and Hodgson, M.",Estimating the Glottal Waveform and the Vocal Tract Filter from a Vowel Sound Signal,"IEEE PacRim Conf. on Comm., Comp. and Sig. Proc., August 2003, pp. 297‑300.",,,,
"Ismaeil, I.R. and Ward, R.K.",Removal of DCT Blocking Artifacts Using DC and AC Filtering,"Proc. of the IEEE Pacific Rim Conf. on Comm., Comp., and Sig. Proc. 2003, Vol. 1, Aug. 28-30, 2003 pp. 229‑232.",,,,
"Zou, J. and Ward, R.K.",Introducing Two New Image Scrambling Methods,"Proc. of the IEEE PacRim Conf. on Comm., Comp., and Sig. Proc. 2003, Vol. 2, Aug. 28‑30, 2003, pp. 708‑711.",,,,
"Ugur, K., Louizis, G., Nasiopoulos, P., and Ward, R.K.",Extremely Fast Selective Enhancement Method for Fine Granular Scalable Enabled H.264 Video,"Trans. of the Can. Conf. on Elect. and Comp. Eng., 2003, pp. 1103‑1106.",,,,
"Azimi, M., Nasiopoulos, P., and Ward, R.K.","A Robust method for Fitting the (Sigma, Rho) Model to a Traffic Source","Trans. of the Inter. Conf. on Information Technology Research and Education, New Jersey, August 2003, pp. 228‑232.",,,,
"Deng, H., Beddoes, M., Ward, R.K., and Hodgson, M.",On Estimating the Vocal-Tract Shape: Correction of an Old Misunderstanding,"Trans. of the Inter. Conf. on Industrial Automation, Montreal, June 2003, MS-14.",,,,
"Xiao, Y., Ward, R.K., and Ikuta, A.",Steady-state Properties of the Sign Algorithm for the Constrained Adaptive IIR Notch Filter,"Proc. of the IEEE ISCAS 2003, Vol. IV, Bangkok, May 2003, pp. 25-28.",,,,
"Xiao, Y., Ward, R.K., and Xu, L.",A New LMS-based Fourier Analyzer in the Presence of Frequency Mismatch,"Proc. of the IEEE ISCAS 2003, Vol. IV, Bangkok, May 2003, pp. 369-372.",,,,
"Xiao, Y., Ward, R.K., Ma, L., and Xu, L.",A Robust LMS-based Fourier Analyzer Capable of Accommodating the Frequency Mismatch,"Proc. of the IEEE ICASSP 2003, Vol. VI, Hong Kong, April 2003, pp. 73-76.",,,,
"Turkowski, K., Hamidzadeh, B., and Ward, R.K.",Word Endpoint Correction Techniques for a Test-to-Multimedia Composition System,"Proc. Of the Inter. Conf. on Tools with Artificial Intelligence, Washington D.C., November 2002, pp. 325-332.",,,,
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",A Scheduling Scheme for Multiplexing Extra Streaming Data into Digital TV Programs,"14th Inter. Conf. on Digital Signal Processing, Greece, July 2002, pp. 579‑582.",,,,
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",A Scheduling Scheme for Multiplexing VBR Sources in Digital TV Systems,"Proc. of the IEEE International Conf. on Image Processing, Rochester, NY, Vol. III, September 2002, pp. 173‑176.",,,,
"Wang, Q., Ward, R.K., and Shi, H.",Isophote Estimation by Cubic‑Spline Interpolation,"Proc. of the IEEE International Conf. on Image Processing, Rochester, NY, Vol. III, 2002, pp. 401‑404.",,,,
"Beddoes, M.P. and Ward, R.K.",A Possible Genetic‑Algorithm Based method for Optimizing a Class of ANN Transfer Functions,"Proc. of the Inter. Conf. on Digital Signal Processing, Greece, July 2002, pp. 1353‑1356.",,,,
"Paquet, A. and Ward, R.K.",Wavelet‑based Digital Watermarking for Image Authorization,"Trans. of the Canadian Conference on Electrical and Computer Engineering, Vol. 2, pp. 879‑884, May 2002.",,,,
"Shi, H. and Ward, R.K.",Canny Edge Based Image Expansion,"Proc. of the IEEE International Conference on Circuits and Systems, Vol. I, May 2002, pp. 785‑788.",,,,
"Paquet, A., Zahir, S., and Ward, R.K.",Wavelet Packets‑Based Image Retrieval,"Trans. of the IEEE ICASSP, Vol. 4, May 2002, pp. 3640‑3643.",,,,
"Adams, D., and Ward, R.K.",Two Families of Symmetry‑Preserving Reversible Integer-to‑Integer Wavelet Transforms,"Trans. of the IEEE ISCAS, Vol. 2, May 2002, pp. 600‑603.",,,,
"Adams, D., and Ward, R.K.",Symmetry - Preserving Reversible Integer‑to‑Integer Wavelet Transforms,"Trans. of the IEEE ICASSP, Vol. 3, May 2002, pp. 2509‑2512.",,,,
"Ahmad, M., Kharma, N., and Ward, R.K.",A Knowledge-base System for Recognizing and Solving Mathematical Problems,"IEEE Inter. Symposium on Signal Processing and Information Technology, Cairo Egypt, December 2001.",,,,
"Beddoes, M.P., Peck, C.C., Hannam, A.G., and Ward, R.K.",ANN‑models for Jaw Research,"Proc. of the 23rd Annual International Conference of the IEEE Engineering in Medicine and Biology Society, Turkey, October 2001.",,,,
"Hussein, F., Kharma, N., and Ward, R.K.","Genetic Algorithms for Feature Selection and Weighting, A Review and Study","Proc. of the 6thInternational Conf. on Document Analysis and Recognition, ICDAR 2001, Seattle, September 2001, pp. 1240‑1244.",,,,
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",New Interactive Services for Digital TV,"Proc. of the IEEE Conf. on Image Processing, Vol. I, October 2001, pp. 814‑817.",,,,
"Wang, Q and Ward R.K. “A New Edge ‑ Directed Image Expansion Scheme"",""Proc. of the IEEE Conf. on Image Processing, Vol. III, October 2001, pp. 899‑902.",,,,,,
"Mousavi, P., Fels, S., Ward, R.K., and Landsorp, P.",Classification of Homologous Human Chromosomes Using Mutual Information Maximization,"Proc of the IEEE Conf. on Image Processing, October 2001, pp. 845-848.",,,,
"Adams, M.A. and Ward, R.K.",Wavelet Transforms in the JPEG‑2000 Standard,"Proc. of the IEEE PACRIM, Vol. 1, August 2001, pp. 160‑163.",,,,
"Shi, H., Kharma, N., and Ward, R.K.",Expanding the Definitions of Linguistic Hedges,"Fuzziness and Soft Computing in the New Millenium Joint 9th IFSA World Congress and 20th NAFIPS International Conf., July 2001, pp. 2591‑2595.",,,,
"Azimi, M., Nasiopoulos, P, and Ward, R.K.",Implementation of MPEG System Target Decoder,"Proc. of the Cdn. Conf. on Elec. and Comp. Engg., Vol. I, May 2001, pp. 943‑948.",,,,
"Ismail, I., Shirani, S., Kossentini, F., and Ward, R.","An Efficient, Similarity‑based Error Concealment Method for Block‑based Coded Images” Proc. of the IEEE International Conference on Image Processing, Vol. III, September 2000, pp. 388‑391",,,,,
