authors,title,journal,link
"Fatourechi M., Bashashati, A., Birch, G.E., and Ward, R.K.",Automatic User Customization for Improving the Performance of an Asynchronous Brain Interface System,"Jour. of Medical, Biological Engineering and Computing, Vol.44, No.12, Dec 2006, pp.1093-1104.",
"Du, S. and Ward, R.K.",Face Recognition under Pose Variations,"Jour. of the Franklin Institute, Vol. 343, No.6, 2006, pp.596-613 .",
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",Data Transmission Schemes for DVD-like Interactive TV,"IEEE Trans. on Multimedia, Vol. 8, No. 4, August 2006, pp. 856–865.",
"Bashashati, A, Fatourechi, M, Ward, RK, and Birch, G",User Customization of the Feature Generator of an Asynchronous Brain Interface,"Annals of Biomedical Engineering, Vol.34, No.6, June 2006, pp. 1051-1060.",
"Bashashati, A., Mason, S.G., Ward, R.K., and Birch, G.E.",An Improved Asynchronous Brain Interface: Making Use of the Temporal History of the LF-ASD Feature Vectors,"Journal of Neural Engineering, Vol. 3, No. 2, June 2006, pp. 87-94 (Invited paper).",
"Deng, H., Ward, R.K., Beddoes, M.P., and Hodgson, M.",A New Method for Obtaining Accurate Estimates of Vocal-Tract Filters and Glottal Waves from Vowel Sounds,"IEEE Trans. on Audio, Speech, and Language Processing, Vol. 14, No. 2, March 2006, pp. 445-455.",
"Bashashati, A., Noureddin, B., Ward, R.K., Lawrence, P.D., and Birch, G.E.",An Experimental Study to Investigate the Effects of a Motion Tracking Electromagnetic Sensor during EEG Data Acquisition,"IEEE Trans. on Biomedical Engineering, Vol. 53, No. 3, March 2006, pp. 559-563.",
"Khojasteh, M., Lam, W.L., Ward, R.K., and MacAulay C.",A Stepwise Framework for the Normalization of Array CGH Data,"BMC Bioinformatics, Vol.6, No.274, November 18, 2005.",
"Azimi, M., Nasiopoulos, P., and Ward, R.K.",Off-line and On-line Identification of Hidden Semi-Markov Models,"IEEE Trans. On Signal Processing, Vol. 53, No. 8, August 2005, pp. 2658‑2663.",
"Zou, J., Tie, X., Ward, R.K., and Qi, D.",Some Novel Image Scrambling Methods Based on Affine Modular Matrix Transformation,"Jour. of Information and Computational Science, Vol. 2, No. 1, March 2005, pp. 223‑227.",
"Xiao, Y., Ward, R.K., Ma, L., and Ikuta, A.",A New LMS-Based Fourier Analyzer in the Presence of Frequency Mismatch and Applications,"IEEE Trans. on Circuits and Systems Part I: Analog and Digital Signal Processing, Vol. 52, No. 1, January 2005, pp. 230‑245.",
"Xiao, Y., Ikuta, A., Ma, L., and Ward, R.K.",Statistical Properties of the LMS Fourier Analyzer in the Presence of Frequency Mismatch,"IEEE Trans. on Circuits and Systems, Part I, Vol. 51, No. 12, December 2004, pp. 2504‑2515.",
"Shi, H., Kharma, N., and Ward, R.K.",Novel Set-Theoretic Definitions of Common Fuzzy Hedges Theory and Application,"Jour. of Intelligent and Fuzzy Systems, Vol. 15, No. 2, December 2004, pp. 105‑114.",
"Deng, H., Ward, R.K., Beddoes, M., and Hodgson, M.",Estimating the Vocal-tract Area Function and the Derivative of the Glottal Wave from a Speech Signal,"GESTS Society, GESTS Intl. Trans. on Speech Science. Engineering, Vol. 1, No. 1, December 2004, pp. 49‑59.",
"Ahmed, M., Ward, R.K., and Kharma, N.",Solving Mathematical Problems Using Knowledge-Based Systems,"Mathematics and Computers in Simulation, Special issue on Applications of Computer Algebra in Science, Engineering, Simulation and Special Software, Vol. 67, September 2004, pp. 149-161.",
"Adams, M.D. and Ward, R.K.",Symmetric-Extension-Compatible Reversible Integer-to-Integer Wavelet Transforms,"IEEE Trans. on Signal Processing, Vol. 51, No. 10, October 2003, pp. 2624-2636.",
"Paquet, A., Ward, R.K. and I. Pitas",Wavelet Packets-based Digital Watermarking for Image Verification and Authentication,"Signal Processing, Special Issue on Security of Data Hiding Technologies, Vol. 83, Issue 10, October 2003, pp. 2117‑2132.",
"Luo, Y. and Ward, R.K.",Removing the Blocking Artifacts of Block Based DCT Compressed Images,"IEEE Trans. on Image Processing, Vol. 12, No. 7, July 2003, pp. 838‑842.",
"Xiao, Y., Ward, R.K., and Ikuta, A.",Performance Analysis of the Sign Algorithm for a Constrained Adaptive IIR Notch Filter,"IEEE Trans. on Signal Processing, Vol. 51, No. 7, July 2003, pp. 1846‑1858.",
"Adams, M.D., Kossentini, F., and Ward, R.K.",Generalized S Transform,"IEEE Trans. on Signal Processing, Vol. 50, No. 11, November 2002, pp. 2831-2842.",
"Nasiopoulos, P., and Ward, R.K.",Effective Multi‑Program Broadcasting of Pre‑Recorded Video Using VBR MPEG‑2 Coding,"IEEE Trans. on Broadcasting, Vol. 48, No. 3, September 2002, pp. 207‑214.",
"Zahir, S., and Ward, R.K.",A New Edge Preserving Binary Images Resizing Technique,"Jour. of Circuits, Systems and Computers, Vol. 11, No. 3, June 2002, pp. 247‑257.",
"Mousavi, P., Ward, R.K., Fels, S., Sameti, M., and Lansdorp, P",Feature Analysis and Centromere Segmentation of Human Chromosome Images Using an Iterative Fuzzy Algorithm,"IEEE Trans. on Biomedical Engineering, Vol. 49, No. 4, April 2002, pp. 363-371.",
"Ahmed, M. and Ward, R.K.",Thinning Symbols to their Central Lines,"IEEE Trans. on Pattern Analysis and Machine Intelligence, Vol. 24, No. 12, 2002, pp. 1672-1678.",
"Ismaeil, I., Docef, A., Kossentini, F., and Ward, R.K.",A Computation‑Distortion Optimized Framework in Efficient DCT‑Based Video Coding,"IEEE Trans. on Multimedia, Vol. 3, No. 3, September 2001, pp. 298-310.",
"Kharma, N. and Ward, R.K.",A Novel Invariant Mapping Applied to Handwritten Arabic Character Recognition,"Pattern Recognition, Vol. 34, 2001, pp. 2115‑2120.",
"Ahmed, M., and Ward, R.K.",An Expert System for General Symbol Recognition,"Pattern Recognition, Vol. 33, No. 12, 2000, pp. 1975‑1988.",
"Shirani, S., Kossentini, F., and Ward, R.K.",Reconstruction of Baseline JPEG Coded Images in Error Prone Environments,"IEEE Trans. on Image Processing, Vol. 9, No. 7, July 2000, pp. 1292‑1299.",
"Shirani, S., Kossentini, F., and Ward. R.K.",A Concealment Method for Video Communications in an Error Prone Environment,"IEEE Jour. on Selected Areas in Communications, Special Issue on Error‑Resilient Image and Video Transmission, Vol. 18, No. 6, June 2000, pp. 1122‑1128.",
"Pronina, K., Ward, R.K., and Nasiopoulos, P.",Improving MPEG Performance with Frame Partitioning,"Jour. of the Society of Motion Picture and Television Engineers, Vol. 109, No. 6, June 2000, pp. 469‑475.",
"Kharma, N. and Ward, R.K.",Character Recognition Systems for the Non‑Expert,"IEEE Canadian Review Journal, No. 33, Fall 1999, pp.5‑8.",
"Poon, S., Martens, U., Ward, R.K., and Lansdorp, P.",Telomere Length Measurements Using Digital Fluorescence Microscopy,"Cytometry, Vol. 36, March 1999, pp. 267‑278.",
"Mousavi, P., Ward, R.K., and Lansdorp, P.",Feature Analysis and Classification of Chromosome 16 Homologous Using Fluorescence Microscopy Images,"IEEE Can. Jour. of Electr. & Comp. Eng. Vol. 24, No. 3, July 1999, pp. 95‑99, invited paper.",
"Cheng, D. and Ward, R.K.",Recognition of Handwritten Numerals Using a Parallel Structure Based on Fourier Descriptors of Numeral Contours,"IEEE Can. Jour. of Electr. & Comp. Eng., Special Issue on Document Image Analysis, Vol. 24, No. 2, April 1999, pp. 73‑84.",
"Lee, Y., Kossentini, F., and Ward, R.K.",Efficient MPEG‑2 Encoding of Interlaced Video,"Canadian Jour. of Electrical and Computer Engineering, Special Issue on Visual Computing and Communications, Vol. 23, No. 1‑2, June 1998, pp. 61‑67.",
"Ahmed, M. and Ward, R.K.",A Fast One Pass Knowledge Based System for Thinning,"SPIE/IS&T Jour. of Electronic Imaging, Special Section on Computational Intelligence in Image Processing, Vol. 7, No. 1, January 1998, pp. 111‑116.",
"Martens, U.M., Zijlmans, J.M., Poon,S., Dragowska, V., Yui, J. Chavez, E.A., Ward, R.K., and Lansdorp, P.M.",Short Telomeres On The P‑Arm Of Human Chromosome 17,"Nature Genetics, Vol. 18, January 1998, pp. 75‑80.",
"Lansdorp, P.M., Dragowska, V., Rufer, N., Brummendorf, T., Chavez, L., Poon, S., Duncan, T., Ward, R.K., and Martens, U.",Telomere Length Dynamics in Cells of Hematopoietic System,"Exp. Hematol, 1998, pp. 26-738.",
"Kossentini, F., Lee, Y., Smith, M., and Ward, R.K.",Predictive RD‑Constrained Motion Estimation for Very Low Bit Rate Video Coding,"Special Issue of the IEEE Trans. on Selected Areas of Communication, Vol. 15, No. 9, December 1997, pp. 1752‑1763.",
"Zijlmans, J.M., Martens, U.M., Poon, S., Raap, A.K., Tanke, H.J., Ward, R.K., and Lansdorp, P.M.",Telomeres in the Mouse Have Large Inter‑chromosomal Variations in the Number of T2AG3 Repeats,"Proc. of National Academy of Science, Vol. 94, July 1997, pp. 7423‑7428.",
"Lee, Y., Kossentini, F., Ward, R.K., and Smith, M.",Towards MPEG 4: An Improved H.263‑Based Video Coder,"Image Communication, Special Issue on MPEG 4, Vol. 10, July 1997, pp. 143‑158. Also submitted to the MPEG 4 group on video.",
"Petrell, R., Shi, X., Ward, R.K., and Savage, M.",Measuring Fish Size in Cages and Tanks,"Aquacultural Engineering, Vol. 16, No. 2, March 1997, pp. 63‑84.",
"Aghdasi, F. and Ward, R.K.",Reduction of Boundary Artifacts in Image Restoration,"IEEE Trans. on Image Processing, Vol. 5, No. 4, April 1996, pp. 611‑618.",
"Xie, Q., Ward, R.K., and Laszlo, C.",A Hidden Markov Model Method for Estimating Normal Infants Distress Levels from their Cry Sounds,"IEEE Trans. on Speech and Audio Processing, Vol. 4, No. 4, July 1996, pp. 253‑265.",
"Nasiopoulos, P., Bouras, D., Ward, R.K., and Mathiopoulos, T.",HDTV Picture Quality Performance under Noisy Conditions ‑‑ Analysis and Measures for Improvement,"Signal Processing Image Communication,Vol. 8, 1996, pp.79‑98.",
"Nasiopoulos, P. and Ward, R.K.",A Hybrid Coding Method for Digital HDTV,"IEEE Trans. on Consumer Electronics, Vol. 41, No.4, Nov. 1995, pp. 1080 ‑1088.",
"Nasiopoulos, P., Yedlin, M., and Ward, R.K.",A High Performance Fixed‑Length Compression Method Using the Kharnunen‑Loeve Transform,"IEEE Trans. on Consumer Electronics, Vol. 41, No. 4, November 1995, pp. 1189‑1196.",
"Nasiopoulos, P., Ward, R.K., and Morse, D.",Adaptive Compression Coding,"IEEE Trans. on Comm., Vol. 39, No. 8, Aug. 1991, pp. 1245‑1254. This paper was selected to reappear in Image Data Compression: Block Truncation Coding ed. B.V. Dasarathy, IEEE Computer Society Press, pp. 164‑173.",
"Nasiopoulos, P. and Ward, R.K.",A High Quality Fixed‑Length Compression Scheme for Color Images,"IEEE Trans. on Communication, Vol. 43, No. 11, November 1995, pp. 2672‑2677.",
"Zhang, Q., Ward, R.K., and Du, J.",Impulse Noise Correction in TV Transmission,"IEEE Trans. on Consumer Electronics, Vol. 41, No. 3, August 1995, pp. 731‑737.",
"Zhang, Q. and Ward, R.K.",Automatic Assessment of Signal‑to‑Thermal Noise Ratio of Television Images,"IEEE Trans. on Consumer Electronics, Vol. 41, No. 1, Feb. 1995, pp. 108‑117.",
"Shi, P. and Ward, R.K.",Reducing the Composite Triple Beats Impairment in Cable Television Pictures,"IEEE Trans. on Consumer Electronics, Vol. 41, No. 1, Feb. 1995, pp. 210‑220.",
"Shi, X. and Ward, R.K.",Non‑Iterative Image Reconstruction from Photon‑limited Data using Self‑Cross Correlation,"Jour. of Opt. Soc. of America, A, Vol. 12, No. 1, Jan. 1995, pp.47‑57.",
"Foster, M., Petrell, R., Ito, R., and Ward, R.K.",Detection and Counting of Uneaten Food Pellets in a Sea Cage Using Image Analysis,"Agricultural Engineering, Vol. 14, No. 3, June 1995, pp. 251‑269.",
"Nasiopoulos, P. and Ward, R.K.",A Noise Resistant Synchronization Scheme for Digital HDTV Images,"  IEEE Trans. on Broadcasting, Vol. 40, No. 4, Dec. 1994, pp. 228‑237.",
"Aghdasi, F., Ward, R.K., and Palcic, B.",Restoration of Mammographic Images in the Presence of Signal‑dependent Noise,"refereed chapter in State of the Art in Mammographic Image Processing eds. K.W. Bowyer and S. Astly, ISBN 981‑02‑1509‑6, World Scientific Publishing Co., Sept. 1994, pp. 42‑63.",
"Shi, X. and Ward, R.K.",Reconstruction of Photon‑limited Stellar Images by Generalized Projections Using the Cross Spectrum,"Jour. of the Optical Soc. of America, A, Vol. 11, No. 5, May 1994, pp. 1589‑1598.",
"Xie, Q., Laszlo, C., and Ward, R.K.",Vector Quantization for Non‑Parametric Classifier Design,"IEEE Trans. on Pattern Analysis and Machine Intelligence, Vol. 15, No. 12, Dec. 1993, pp. 1326‑1330.",
"Shi, P. and Ward, R.K.",Automatic Recognition of Intermodulation Beat Products in Cable T.V.,"IEEE Trans. on Broadcasting, Vol. 39, No. 1, Sept. 1993, pp. 318‑326.",
"Ward, R.K.",Restoration of Differently Blurred Versions of an Imagewith Measurement Errors in the Point Spread Functions,"IEEE Trans. On Image Processing, Vol. 2. No. 3, July 1993, pp. 369‑381.",
"Poon, S., Ward, R.K., and Palcic, B.",Automated Image Detection and Segmentation in Blood Smears,"Yearbook of Medical Informatics, 1993, pp. 271-279.",
"Guan, L. and Ward, R.K.",Restoration of Randomly Blurred Images by the Maximum A Posteriori Criterion,"IEEE Trans. on Image Processing, Vol. No. 2, April 1992, pp. 256‑262.",
"Shi, P. and Ward, R.K.",OSNet: A Neural Network Implementation of Order Statistic Filters,"IEEE Trans. on Neural Networks, Vol. 4, No. 2, March 1992, pp. 234‑241.",
"Poon, S., Ward, R.K., and Palcic, B.",Automated Image Detection and Segmentation in Blood Cells,"Cytometry, Vol. 13, #7, 1992, pp. 766‑774. This paper has been selected to appear in ""IMIA Yearbook of Medical Informatics","pp. 271‑279, containing the best of medical informatic articles of 40 related societies."
"Poon, S., Ward, R.K., and Palcic, B.",Feature Extraction from Three‑Dimensional Images in Quantitative Microscopy,"Micron and Microscopica Acta, Vol. 23, No. 4, 1992, pp. 481‑489.",
"Shi, X. and Ward, R.K.",Restoration of Images Degraded by Atmospheric Turbulence and Detection Noise,"Jour. of the Optical Society of America, A, Vol. 9, No. 3, March 1992, pp. 364‑370.",
"Ward, R.K.. and Zhang, Q.",Automatic Identification of Impairments Caused By Intermodulation Distortion In Cable Television Pictures,"IEEE Trans. on Broadcasting, Vol. 38, No. 1, March 1992, pp. 60‑68.",
"Guan, L. and Ward, R.K.",Restoration of Stochastically Blurred Images by the Geometric Mean Filter,"Optical Engineering, Vol. 29, No. 4, April 1990, pp. 289‑295, invited paper RR‑119.",
"Guan, L. and Ward, R.K.",Deblurring Random Time‑Varying Blur,"Jour. of the Optical Society of America, A, Vol. 6, No. 11, November 1989, pp. 1727‑1737.",
"Rey, C. and Ward, R.K.",A Parametrized Family of Nonlinear Image Smoothing Filters,"IEEE Trans. on Acous., Speech & Signal Processing, Vol. ASSP 34, No. 9, September 1989, pp. 1458‑1462.",
"Guan, L. and Ward, R.K.",Restoration of Randomly Blurred Images by the Wiener Filter,"IEEE Trans. on Acous., Speech & Signal Processing, Vol. No. 7, April, 1989, pp. 589‑592.",
"Ward, R.K. and Saleh, B.E.",Deblurring Random Blur,"IEEE Trans. On Acous., Speech & Signal Processing, Vol. ASSP‑35, No. 10, October, 1987, pp. 1484‑1498. This paper was reprinted in ""Selected Papers in Digital Image Restoration” ed. M.I. Sezan, SPIE Milestone Series, Vol. MS‑47, 1992, a print book of outstanding optical engineering papers selected from the world literature on this subject.",
"Ward, R.K. and Saleh, B.E.",Image Restoration Under Random Time‑Varying Blur,"Applied Optics, Vol. 26, No. 20, October 1987, pp. 4407‑4412.",
"Rey, C. and Ward, R.K.",On Determining the On‑Line Minimax Linear Fit to a Discrete Point Set in the Plane,"Information Processing Letters, January 1987, pp. 97‑101.",
"Ward, R.K. and Saleh, B.E.",Restoration of Images Distorted by Systems of Random Time‑Varying Impulse Response,"Jour. of the Optical Society of America, A, Vol. 3, June 1986, pp. 800‑807.",
"Ward, R.K.",Parity Check Codes for Logical Processors,"The Computer Journal, Vol. 29, No. 1, 1986, pp. 12‑16.",
"Ward, R.K. and Saleh, B.E.",Restoration of Images Distorted by Systems of Random Impulse Response,"Jour. of the Optical Society of America, A, Vol. 2, No. 8, August 1985, pp. 1254‑1259.",
"Ward, R.K. and Tabandeh, M.","Error Correction and Detection, a Geometric Approach","The Computer Journal, Vol. 27, No. 3, August 1984, pp. 246‑253.",
"Ward, R.K.",Comparison and Diagnosis of Errors for Six Estimation Methods,"Intl. Jour. of Systems Science, Vol. 15, No. 7, July 1984, pp. 745‑759.",
"Ward, R.K.",A Development of a Socio‑Economic Information System: A Land Reform Model for Zimbabwe,"IEEE Trans. on Systems, Man and Cybernetics, Vol. 14, No. 2, March/April 1984, pp. 299‑302.",
"Ward, R.K.",An On‑Line Adaptation for Discrete Linear Estimation,"IEEE Trans. on Automatic Control, Vol. AC‑29, No. 1, January 1984, pp. 67‑71.",
"Ward, R.K.",On Reliability of Prediction in Linear Models,"IEEE Trans. on Automatic Control, Dec. 1981, Vol. AC‑26, No. 6, pp. 1297‑1299.",
"Ward, R.K.",An Econometric Model to Forecast Electricity Demand for Rhodesia/Zimbabwe,"The Trans. of the South African Inst. of Electrical Engineers, January 1980, Vol. 71, part 1, pp. 2‑10.",
"Ward, R.K.",Operations Research and Applications for Rhodesia,"Jour. Of the Rhodesian Inst. of Engineers, March 1979, Vol. 17, No. 2, pp. 189‑196. This paper won the 1979 Institution Award.",
"Ward, R.K.",Notes on the Instrumental Variables Method,"IEEE Trans. On Automatic Control, June 1977, Vol. AC‑22, No. 3, pp. 482‑484.",
